Source,Target,Type,Id,Label,timeset,Weight
44,1,Directed,50,,<[1415854800.0]>,3
2401,1,Directed,51,,<[1390626000.0]>,3
10,1,Directed,52,,<[1375243200.0]>,3
2378,1,Directed,53,,<[1378612800.0]>,3
126,1,Directed,54,,<[1374206400.0]>,3
3245,1,Directed,55,,<[1369972800.0]>,3
783,1,Directed,56,,<[1368676800.0]>,3
493,1,Directed,57,,<[1362114000.0]>,3
1358,1,Directed,58,,<[1372737600.0]>,3
1180,1,Directed,59,,<[1378267200.0]>,3
529,1,Directed,60,,<[1361595600.0]>,3
333,1,Directed,61,,<[1357275600.0]>,3
1538,1,Directed,62,,<[1358744400.0]>,3
2282,1,Directed,63,,<[1353819600.0]>,3
1519,1,Directed,64,,<[1363924800.0]>,3
2966,1,Directed,65,,<[1342238400.0]>,3
474,1,Directed,66,,<[1346817600.0]>,3
330,1,Directed,67,,<[1381377600.0]>,3
958,1,Directed,68,,<[1363579200.0]>,3
17,1,Directed,69,,<[1330837200.0]>,3
1295,1,Directed,70,,<[1329541200.0]>,3
38,1,Directed,71,,<[1354165200.0]>,3
1952,1,Directed,72,,<[1305518400.0]>,3
223,1,Directed,73,,<[1304395200.0]>,3
625,1,Directed,74,,<[1293426000.0]>,2
1392,1,Directed,75,,<[1418101200.0]>,2
3355,1,Directed,76,,<[1414990800.0]>,2
1881,1,Directed,77,,<[1404964800.0]>,2
58,1,Directed,78,,<[1412654400.0]>,2
96,1,Directed,79,,<[1410148800.0]>,2
1580,1,Directed,80,,<[1392526800.0]>,2
196,1,Directed,81,,<[1391576400.0]>,2
146,1,Directed,82,,<[1390885200.0]>,2
416,1,Directed,83,,<[1391835600.0]>,2
1198,1,Directed,84,,<[1390453200.0]>,2
3319,1,Directed,85,,<[1387256400.0]>,2
1867,1,Directed,86,,<[1396411200.0]>,2
896,1,Directed,87,,<[1384059600.0]>,2
617,1,Directed,88,,<[1383886800.0]>,2
3300,1,Directed,89,,<[1380254400.0]>,2
1877,1,Directed,90,,<[1378353600.0]>,2
462,1,Directed,91,,<[1378353600.0]>,2
3279,1,Directed,92,,<[1375675200.0]>,2
454,1,Directed,93,,<[1387256400.0]>,2
1860,1,Directed,94,,<[1371182400.0]>,2
121,1,Directed,95,,<[1370318400.0]>,2
151,1,Directed,96,,<[1376366400.0]>,2
1570,1,Directed,97,,<[1373688000.0]>,2
1573,1,Directed,98,,<[1408939200.0]>,2
1063,1,Directed,99,,<[1365912000.0]>,2
1353,1,Directed,100,,<[1402200000.0]>,2
459,1,Directed,101,,<[1372910400.0]>,2
2334,1,Directed,102,,<[1363924800.0]>,2
1267,1,Directed,103,,<[1363320000.0]>,2
1060,1,Directed,104,,<[1362114000.0]>,2
1061,1,Directed,105,,<[1361595600.0]>,2
7431,1,Directed,106,,<[1362459600.0]>,2
1355,1,Directed,107,,<[1376884800.0]>,2
71,1,Directed,108,,<[1355029200.0]>,2
3070,1,Directed,109,,<[1353992400.0]>,2
2113,1,Directed,110,,<[1352696400.0]>,2
3001,1,Directed,111,,<[1352610000.0]>,2
396,1,Directed,112,,<[1352437200.0]>,2
2260,1,Directed,113,,<[1350446400.0]>,2
142,1,Directed,114,,<[1365566400.0]>,2
2238,1,Directed,115,,<[1344139200.0]>,2
123,1,Directed,116,,<[1343880000.0]>,2
2942,1,Directed,117,,<[1347940800.0]>,2
1509,1,Directed,118,,<[1339992000.0]>,2
7410,1,Directed,119,,<[1337659200.0]>,2
1760,1,Directed,120,,<[1335412800.0]>,2
2876,1,Directed,121,,<[1333080000.0]>,2
259,1,Directed,122,,<[1397448000.0]>,2
1493,1,Directed,123,,<[1332820800.0]>,2
2845,1,Directed,124,,<[1329368400.0]>,2
370,1,Directed,125,,<[1329109200.0]>,2
2844,1,Directed,126,,<[1328936400.0]>,2
2167,1,Directed,127,,<[1327381200.0]>,2
156,1,Directed,128,,<[1325739600.0]>,2
2808,1,Directed,129,,<[1323925200.0]>,2
255,1,Directed,130,,<[1323147600.0]>,2
736,1,Directed,131,,<[1324357200.0]>,2
7603,1,Directed,132,,<[1320901200.0]>,2
346,1,Directed,133,,<[1333857600.0]>,2
9,1,Directed,134,,<[1329454800.0]>,2
75,1,Directed,135,,<[1320642000.0]>,2
175,1,Directed,136,,<[1318910400.0]>,2
2754,1,Directed,137,,<[1317268800.0]>,2
22,1,Directed,138,,<[1320728400.0]>,2
155,1,Directed,139,,<[1311307200.0]>,2
1261,1,Directed,140,,<[1309320000.0]>,2
2552,1,Directed,141,,<[1307851200.0]>,2
2586,1,Directed,142,,<[1307592000.0]>,2
710,1,Directed,143,,<[1314504000.0]>,2
578,1,Directed,144,,<[1307332800.0]>,2
472,1,Directed,145,,<[1306814400.0]>,2
2472,1,Directed,146,,<[1304395200.0]>,2
1606,1,Directed,147,,<[1302062400.0]>,2
4,1,Directed,148,,<[1299646800.0]>,2
563,1,Directed,149,,<[1312862400.0]>,2
744,1,Directed,150,,<[1294549200.0]>,1
3422,1,Directed,151,,<[1420347600.0]>,1
250,1,Directed,152,,<[1418360400.0]>,1
249,1,Directed,153,,<[1418101200.0]>,1
2427,1,Directed,154,,<[1417064400.0]>,1
3414,1,Directed,155,,<[1416978000.0]>,1
1590,1,Directed,156,,<[1414728000.0]>,1
2305,1,Directed,157,,<[1411876800.0]>,1
1900,1,Directed,158,,<[1411358400.0]>,1
3392,1,Directed,159,,<[1406520000.0]>,1
1065,1,Directed,160,,<[1405656000.0]>,1
1147,1,Directed,161,,<[1402372800.0]>,1
1072,1,Directed,162,,<[1402200000.0]>,1
3375,1,Directed,163,,<[1399176000.0]>,1
1024,1,Directed,164,,<[1396843200.0]>,1
709,1,Directed,165,,<[1396497600.0]>,1
1382,1,Directed,166,,<[1392008400.0]>,1
3332,1,Directed,167,,<[1386219600.0]>,1
1885,1,Directed,168,,<[1385787600.0]>,1
3330,1,Directed,169,,<[1385701200.0]>,1
1197,1,Directed,170,,<[1385182800.0]>,1
3316,1,Directed,171,,<[1385182800.0]>,1
1886,1,Directed,172,,<[1384923600.0]>,1
154,1,Directed,173,,<[1384837200.0]>,1
1522,1,Directed,174,,<[1379908800.0]>,1
2391,1,Directed,175,,<[1379131200.0]>,1
3298,1,Directed,176,,<[1378180800.0]>,1
432,1,Directed,177,,<[1377921600.0]>,1
3292,1,Directed,178,,<[1377576000.0]>,1
3290,1,Directed,179,,<[1377576000.0]>,1
7597,1,Directed,180,,<[1376020800.0]>,1
3274,1,Directed,181,,<[1375502400.0]>,1
1875,1,Directed,182,,<[1375416000.0]>,1
291,1,Directed,183,,<[1374897600.0]>,1
158,1,Directed,184,,<[1374811200.0]>,1
1579,1,Directed,185,,<[1374552000.0]>,1
1846,1,Directed,186,,<[1372392000.0]>,1
1066,1,Directed,187,,<[1372392000.0]>,1
290,1,Directed,188,,<[1369368000.0]>,1
3233,1,Directed,189,,<[1368936000.0]>,1
891,1,Directed,190,,<[1368676800.0]>,1
247,1,Directed,191,,<[1373256000.0]>,1
1856,1,Directed,192,,<[1367467200.0]>,1
3211,1,Directed,193,,<[1367553600.0]>,1
115,1,Directed,194,,<[1367380800.0]>,1
1365,1,Directed,195,,<[1366948800.0]>,1
483,1,Directed,196,,<[1366862400.0]>,1
3210,1,Directed,197,,<[1366430400.0]>,1
3189,1,Directed,198,,<[1366171200.0]>,1
3193,1,Directed,199,,<[1366084800.0]>,1
2352,1,Directed,200,,<[1365912000.0]>,1
1847,1,Directed,201,,<[1365825600.0]>,1
3173,1,Directed,202,,<[1365307200.0]>,1
1051,1,Directed,203,,<[1365048000.0]>,1
1843,1,Directed,204,,<[1364788800.0]>,1
2342,1,Directed,205,,<[1364616000.0]>,1
7341,1,Directed,206,,<[1364529600.0]>,1
3139,1,Directed,207,,<[1364529600.0]>,1
1186,1,Directed,208,,<[1364443200.0]>,1
3167,1,Directed,209,,<[1364443200.0]>,1
3149,1,Directed,210,,<[1364270400.0]>,1
1842,1,Directed,211,,<[1364184000.0]>,1
3156,1,Directed,212,,<[1363579200.0]>,1
3141,1,Directed,213,,<[1363320000.0]>,1
817,1,Directed,214,,<[1363233600.0]>,1
1840,1,Directed,215,,<[1362974400.0]>,1
1839,1,Directed,216,,<[1362974400.0]>,1
2324,1,Directed,217,,<[1362718800.0]>,1
3143,1,Directed,218,,<[1362718800.0]>,1
3142,1,Directed,219,,<[1362459600.0]>,1
174,1,Directed,220,,<[1361336400.0]>,1
2315,1,Directed,221,,<[1360645200.0]>,1
1356,1,Directed,222,,<[1360213200.0]>,1
1835,1,Directed,223,,<[1359867600.0]>,1
296,1,Directed,224,,<[1359781200.0]>,1
3118,1,Directed,225,,<[1365998400.0]>,1
1542,1,Directed,226,,<[1359435600.0]>,1
3111,1,Directed,227,,<[1358398800.0]>,1
753,1,Directed,228,,<[1358139600.0]>,1
3088,1,Directed,229,,<[1355893200.0]>,1
395,1,Directed,230,,<[1355806800.0]>,1
3068,1,Directed,231,,<[1354856400.0]>,1
3042,1,Directed,232,,<[1354770000.0]>,1
1442,1,Directed,233,,<[1354683600.0]>,1
1339,1,Directed,234,,<[1355720400.0]>,1
596,1,Directed,235,,<[1354424400.0]>,1
2281,1,Directed,236,,<[1353992400.0]>,1
222,1,Directed,237,,<[1353646800.0]>,1
194,1,Directed,238,,<[1353646800.0]>,1
3064,1,Directed,239,,<[1353646800.0]>,1
1812,1,Directed,240,,<[1353560400.0]>,1
1796,1,Directed,241,,<[1353387600.0]>,1
701,1,Directed,242,,<[1353214800.0]>,1
124,1,Directed,243,,<[1352955600.0]>,1
3057,1,Directed,244,,<[1352782800.0]>,1
7427,1,Directed,245,,<[1352869200.0]>,1
2276,1,Directed,246,,<[1352437200.0]>,1
2271,1,Directed,247,,<[1351656000.0]>,1
1525,1,Directed,248,,<[1350619200.0]>,1
2235,1,Directed,249,,<[1350446400.0]>,1
3027,1,Directed,250,,<[1350360000.0]>,1
2090,1,Directed,251,,<[1350273600.0]>,1
1342,1,Directed,252,,<[1350014400.0]>,1
331,1,Directed,253,,<[1350014400.0]>,1
3023,1,Directed,254,,<[1349841600.0]>,1
2261,1,Directed,255,,<[1349841600.0]>,1
68,1,Directed,256,,<[1349841600.0]>,1
116,1,Directed,257,,<[1349582400.0]>,1
1043,1,Directed,258,,<[1349582400.0]>,1
3020,1,Directed,259,,<[1348977600.0]>,1
491,1,Directed,260,,<[1348459200.0]>,1
179,1,Directed,261,,<[1348372800.0]>,1
2252,1,Directed,262,,<[1349236800.0]>,1
214,1,Directed,263,,<[1348113600.0]>,1
439,1,Directed,264,,<[1347940800.0]>,1
2147,1,Directed,265,,<[1347768000.0]>,1
1167,1,Directed,266,,<[1347508800.0]>,1
697,1,Directed,267,,<[1347163200.0]>,1
67,1,Directed,268,,<[1347163200.0]>,1
1793,1,Directed,269,,<[1347076800.0]>,1
258,1,Directed,270,,<[1346731200.0]>,1
1340,1,Directed,271,,<[1346472000.0]>,1
2996,1,Directed,272,,<[1346299200.0]>,1
1520,1,Directed,273,,<[1345780800.0]>,1
1336,1,Directed,274,,<[1345348800.0]>,1
30,1,Directed,275,,<[1345348800.0]>,1
178,1,Directed,276,,<[1348113600.0]>,1
747,1,Directed,277,,<[1342497600.0]>,1
2962,1,Directed,278,,<[1341374400.0]>,1
2952,1,Directed,279,,<[1340337600.0]>,1
455,1,Directed,280,,<[1339992000.0]>,1
260,1,Directed,281,,<[1339560000.0]>,1
623,1,Directed,282,,<[1339387200.0]>,1
29,1,Directed,283,,<[1338955200.0]>,1
1510,1,Directed,284,,<[1338523200.0]>,1
2927,1,Directed,285,,<[1338264000.0]>,1
301,1,Directed,286,,<[1337140800.0]>,1
2907,1,Directed,287,,<[1336190400.0]>,1
2909,1,Directed,288,,<[1335931200.0]>,1
1148,1,Directed,289,,<[1335412800.0]>,1
955,1,Directed,290,,<[1335326400.0]>,1
1502,1,Directed,291,,<[1335067200.0]>,1
2853,1,Directed,292,,<[1334894400.0]>,1
1500,1,Directed,293,,<[1334721600.0]>,1
2178,1,Directed,294,,<[1334721600.0]>,1
1320,1,Directed,295,,<[1334635200.0]>,1
874,1,Directed,296,,<[1334635200.0]>,1
2177,1,Directed,297,,<[1334203200.0]>,1
2892,1,Directed,298,,<[1334116800.0]>,1
636,1,Directed,299,,<[1364875200.0]>,1
1034,1,Directed,300,,<[1334548800.0]>,1
1494,1,Directed,301,,<[1333512000.0]>,1
276,1,Directed,302,,<[1333339200.0]>,1
1318,1,Directed,303,,<[1333080000.0]>,1
117,1,Directed,304,,<[1332907200.0]>,1
1492,1,Directed,305,,<[1332302400.0]>,1
1302,1,Directed,306,,<[1332302400.0]>,1
1313,1,Directed,307,,<[1332129600.0]>,1
1491,1,Directed,308,,<[1331956800.0]>,1
2870,1,Directed,309,,<[1331697600.0]>,1
2181,1,Directed,310,,<[1331524800.0]>,1
1309,1,Directed,311,,<[1330664400.0]>,1
1750,1,Directed,312,,<[1330232400.0]>,1
2848,1,Directed,313,,<[1329973200.0]>,1
1458,1,Directed,314,,<[1329714000.0]>,1
951,1,Directed,315,,<[1329627600.0]>,1
1029,1,Directed,316,,<[1329627600.0]>,1
2176,1,Directed,317,,<[1329195600.0]>,1
2846,1,Directed,318,,<[1329109200.0]>,1
347,1,Directed,319,,<[1329022800.0]>,1
2173,1,Directed,320,,<[1328850000.0]>,1
2826,1,Directed,321,,<[1327035600.0]>,1
1742,1,Directed,322,,<[1340856000.0]>,1
2166,1,Directed,323,,<[1326776400.0]>,1
2823,1,Directed,324,,<[1326258000.0]>,1
2820,1,Directed,325,,<[1325480400.0]>,1
2814,1,Directed,326,,<[1324962000.0]>,1
1736,1,Directed,327,,<[1324616400.0]>,1
1025,1,Directed,328,,<[1324443600.0]>,1
1482,1,Directed,329,,<[1324357200.0]>,1
1483,1,Directed,330,,<[1324270800.0]>,1
2152,1,Directed,331,,<[1352091600.0]>,1
2806,1,Directed,332,,<[1323320400.0]>,1
1128,1,Directed,333,,<[1322888400.0]>,1
2801,1,Directed,334,,<[1322629200.0]>,1
2795,1,Directed,335,,<[1322110800.0]>,1
1290,1,Directed,336,,<[1322110800.0]>,1
1288,1,Directed,337,,<[1321938000.0]>,1
1436,1,Directed,338,,<[1321592400.0]>,1
2498,1,Directed,339,,<[1321419600.0]>,1
2784,1,Directed,340,,<[1320987600.0]>,1
587,1,Directed,341,,<[1320728400.0]>,1
2780,1,Directed,342,,<[1320292800.0]>,1
2779,1,Directed,343,,<[1320120000.0]>,1
305,1,Directed,344,,<[1320120000.0]>,1
944,1,Directed,345,,<[1320120000.0]>,1
2129,1,Directed,346,,<[1319515200.0]>,1
683,1,Directed,347,,<[1319428800.0]>,1
42,1,Directed,348,,<[1319256000.0]>,1
1136,1,Directed,349,,<[1318737600.0]>,1
1283,1,Directed,350,,<[1318564800.0]>,1
2127,1,Directed,351,,<[1317614400.0]>,1
2093,1,Directed,352,,<[1316664000.0]>,1
1284,1,Directed,353,,<[1316491200.0]>,1
72,1,Directed,354,,<[1316318400.0]>,1
264,1,Directed,355,,<[1316232000.0]>,1
2756,1,Directed,356,,<[1316145600.0]>,1
1285,1,Directed,357,,<[1316059200.0]>,1
613,1,Directed,358,,<[1316059200.0]>,1
304,1,Directed,359,,<[1315886400.0]>,1
1282,1,Directed,360,,<[1315886400.0]>,1
4721,1,Directed,361,,<[1315713600.0]>,1
1475,1,Directed,362,,<[1315022400.0]>,1
2746,1,Directed,363,,<[1314849600.0]>,1
1715,1,Directed,364,,<[1314676800.0]>,1
734,1,Directed,365,,<[1314417600.0]>,1
2108,1,Directed,366,,<[1314331200.0]>,1
1923,1,Directed,367,,<[1314158400.0]>,1
1465,1,Directed,368,,<[1313985600.0]>,1
2742,1,Directed,369,,<[1313726400.0]>,1
2117,1,Directed,370,,<[1313640000.0]>,1
1720,1,Directed,371,,<[1313467200.0]>,1
90,1,Directed,372,,<[1313467200.0]>,1
2731,1,Directed,373,,<[1312862400.0]>,1
1457,1,Directed,374,,<[1312776000.0]>,1
2725,1,Directed,375,,<[1312776000.0]>,1
2109,1,Directed,376,,<[1311566400.0]>,1
543,1,Directed,377,,<[1312516800.0]>,1
2102,1,Directed,378,,<[1311048000.0]>,1
712,1,Directed,379,,<[1310270400.0]>,1
231,1,Directed,380,,<[1311134400.0]>,1
2687,1,Directed,381,,<[1309924800.0]>,1
1708,1,Directed,382,,<[1309752000.0]>,1
1129,1,Directed,383,,<[1309665600.0]>,1
76,1,Directed,384,,<[1309320000.0]>,1
2065,1,Directed,385,,<[1307851200.0]>,1
1251,1,Directed,386,,<[1307505600.0]>,1
1248,1,Directed,387,,<[1307419200.0]>,1
725,1,Directed,388,,<[1307160000.0]>,1
2559,1,Directed,389,,<[1307073600.0]>,1
507,1,Directed,390,,<[1306728000.0]>,1
1942,1,Directed,391,,<[1304913600.0]>,1
1232,1,Directed,392,,<[1304654400.0]>,1
534,1,Directed,393,,<[1304568000.0]>,1
994,1,Directed,394,,<[1304136000.0]>,1
503,1,Directed,395,,<[1303790400.0]>,1
2448,1,Directed,396,,<[1302580800.0]>,1
846,1,Directed,397,,<[1301976000.0]>,1
1,160,Directed,398,,<[1317182400.0]>,10
1,1028,Directed,399,,<[1348804800.0]>,7
1,309,Directed,400,,<[1378353600.0]>,5
1,11,Directed,401,,<[1372046400.0]>,5
1,594,Directed,402,,<[1370836800.0]>,5
1,1316,Directed,403,,<[1353301200.0]>,5
1,1392,Directed,404,,<[1416978000.0]>,4
1,1583,Directed,405,,<[1380945600.0]>,4
1,888,Directed,406,,<[1365652800.0]>,4
1,637,Directed,407,,<[1418792400.0]>,4
1,1520,Directed,408,,<[1412654400.0]>,4
1,18,Directed,409,,<[1314936000.0]>,4
1,35,Directed,410,,<[1330578000.0]>,4
1,1901,Directed,411,,<[1411790400.0]>,3
1,44,Directed,412,,<[1415854800.0]>,3
1,10,Directed,413,,<[1375243200.0]>,3
1,783,Directed,414,,<[1368676800.0]>,3
1,821,Directed,415,,<[1369108800.0]>,3
1,112,Directed,416,,<[1362546000.0]>,3
1,964,Directed,417,,<[1350187200.0]>,3
1,89,Directed,418,,<[1345521600.0]>,3
1,20,Directed,419,,<[1342584000.0]>,3
1,256,Directed,420,,<[1343016000.0]>,3
1,223,Directed,421,,<[1304568000.0]>,3
1,1881,Directed,422,,<[1420261200.0]>,2
1,351,Directed,423,,<[1409371200.0]>,2
1,196,Directed,424,,<[1391576400.0]>,2
1,416,Directed,425,,<[1391835600.0]>,2
1,1877,Directed,426,,<[1378872000.0]>,2
1,87,Directed,427,,<[1380686400.0]>,2
1,2367,Directed,428,,<[1371700800.0]>,2
1,3254,Directed,429,,<[1372392000.0]>,2
1,1573,Directed,430,,<[1408939200.0]>,2
1,247,Directed,431,,<[1373256000.0]>,2
1,1353,Directed,432,,<[1402200000.0]>,2
1,493,Directed,433,,<[1363665600.0]>,2
1,1358,Directed,434,,<[1372737600.0]>,2
1,1177,Directed,435,,<[1362027600.0]>,2
1,1538,Directed,436,,<[1358139600.0]>,2
1,2296,Directed,437,,<[1359954000.0]>,2
1,222,Directed,438,,<[1386392400.0]>,2
1,2282,Directed,439,,<[1353819600.0]>,2
1,2113,Directed,440,,<[1352696400.0]>,2
1,2260,Directed,441,,<[1350446400.0]>,2
1,71,Directed,442,,<[1348545600.0]>,2
1,142,Directed,443,,<[1365566400.0]>,2
1,2249,Directed,444,,<[1355893200.0]>,2
1,1519,Directed,445,,<[1363924800.0]>,2
1,2227,Directed,446,,<[1353301200.0]>,2
1,1496,Directed,447,,<[1334116800.0]>,2
1,519,Directed,448,,<[1334721600.0]>,2
1,1493,Directed,449,,<[1334548800.0]>,2
1,1315,Directed,450,,<[1334808000.0]>,2
1,1750,Directed,451,,<[1330232400.0]>,2
1,156,Directed,452,,<[1325739600.0]>,2
1,9,Directed,453,,<[1329454800.0]>,2
1,1724,Directed,454,,<[1322802000.0]>,2
1,22,Directed,455,,<[1320728400.0]>,2
1,15,Directed,456,,<[1319860800.0]>,2
1,255,Directed,457,,<[1323147600.0]>,2
1,1267,Directed,458,,<[1363320000.0]>,2
1,1261,Directed,459,,<[1309320000.0]>,2
1,57,Directed,460,,<[1314936000.0]>,2
1,710,Directed,461,,<[1314504000.0]>,2
1,472,Directed,462,,<[1306728000.0]>,2
1,152,Directed,463,,<[1354078800.0]>,2
1,1952,Directed,464,,<[1312948800.0]>,2
1,1606,Directed,465,,<[1302062400.0]>,2
1,379,Directed,466,,<[1300939200.0]>,2
1,4,Directed,467,,<[1300161600.0]>,2
1,563,Directed,468,,<[1312862400.0]>,2
1,113,Directed,469,,<[1291006800.0]>,2
1,744,Directed,470,,<[1293426000.0]>,1
1,625,Directed,471,,<[1293426000.0]>,1
1,3422,Directed,472,,<[1420347600.0]>,1
1,3421,Directed,473,,<[1420088400.0]>,1
1,3418,Directed,474,,<[1419310800.0]>,1
1,3402,Directed,475,,<[1419310800.0]>,1
1,250,Directed,476,,<[1419310800.0]>,1
1,249,Directed,477,,<[1418101200.0]>,1
1,2427,Directed,478,,<[1419310800.0]>,1
1,3414,Directed,479,,<[1417064400.0]>,1
1,1590,Directed,480,,<[1415941200.0]>,1
1,3355,Directed,481,,<[1414990800.0]>,1
1,2305,Directed,482,,<[1413345600.0]>,1
1,1900,Directed,483,,<[1411704000.0]>,1
1,3385,Directed,484,,<[1403755200.0]>,1
1,1147,Directed,485,,<[1402632000.0]>,1
1,377,Directed,486,,<[1402632000.0]>,1
1,1072,Directed,487,,<[1402200000.0]>,1
1,96,Directed,488,,<[1400040000.0]>,1
1,118,Directed,489,,<[1399867200.0]>,1
1,3375,Directed,490,,<[1399176000.0]>,1
1,3367,Directed,491,,<[1398312000.0]>,1
1,1024,Directed,492,,<[1396843200.0]>,1
1,709,Directed,493,,<[1396497600.0]>,1
1,3349,Directed,494,,<[1395288000.0]>,1
1,1580,Directed,495,,<[1395288000.0]>,1
1,545,Directed,496,,<[1391835600.0]>,1
1,146,Directed,497,,<[1390539600.0]>,1
1,1198,Directed,498,,<[1389762000.0]>,1
1,1589,Directed,499,,<[1389243600.0]>,1
1,3341,Directed,500,,<[1388898000.0]>,1
1,3339,Directed,501,,<[1388379600.0]>,1
1,2402,Directed,502,,<[1388379600.0]>,1
1,2401,Directed,503,,<[1386738000.0]>,1
1,1382,Directed,504,,<[1386738000.0]>,1
1,3335,Directed,505,,<[1386478800.0]>,1
1,3317,Directed,506,,<[1386306000.0]>,1
1,3329,Directed,507,,<[1386306000.0]>,1
1,3332,Directed,508,,<[1386219600.0]>,1
1,3330,Directed,509,,<[1385701200.0]>,1
1,1867,Directed,510,,<[1385701200.0]>,1
1,1197,Directed,511,,<[1385701200.0]>,1
1,3319,Directed,512,,<[1385701200.0]>,1
1,1885,Directed,513,,<[1385701200.0]>,1
1,1862,Directed,514,,<[1385528400.0]>,1
1,1886,Directed,515,,<[1384923600.0]>,1
1,649,Directed,516,,<[1384923600.0]>,1
1,154,Directed,517,,<[1384837200.0]>,1
1,3316,Directed,518,,<[1384923600.0]>,1
1,617,Directed,519,,<[1383105600.0]>,1
1,3313,Directed,520,,<[1383105600.0]>,1
1,3300,Directed,521,,<[1379908800.0]>,1
1,1522,Directed,522,,<[1379649600.0]>,1
1,2391,Directed,523,,<[1379131200.0]>,1
1,896,Directed,524,,<[1378872000.0]>,1
1,3298,Directed,525,,<[1378872000.0]>,1
1,462,Directed,526,,<[1378094400.0]>,1
1,3295,Directed,527,,<[1379908800.0]>,1
1,432,Directed,528,,<[1377921600.0]>,1
1,3292,Directed,529,,<[1377576000.0]>,1
1,3290,Directed,530,,<[1377316800.0]>,1
1,2383,Directed,531,,<[1377144000.0]>,1
1,1195,Directed,532,,<[1377144000.0]>,1
1,3283,Directed,533,,<[1375675200.0]>,1
1,1875,Directed,534,,<[1375675200.0]>,1
1,3279,Directed,535,,<[1375243200.0]>,1
1,2378,Directed,536,,<[1375070400.0]>,1
1,1579,Directed,537,,<[1374897600.0]>,1
1,291,Directed,538,,<[1374897600.0]>,1
1,454,Directed,539,,<[1373774400.0]>,1
1,2375,Directed,540,,<[1373774400.0]>,1
1,292,Directed,541,,<[1373774400.0]>,1
1,158,Directed,542,,<[1373774400.0]>,1
1,3256,Directed,543,,<[1373515200.0]>,1
1,1846,Directed,544,,<[1372824000.0]>,1
1,3259,Directed,545,,<[1372564800.0]>,1
1,1066,Directed,546,,<[1372392000.0]>,1
1,1061,Directed,547,,<[1372219200.0]>,1
1,3253,Directed,548,,<[1371441600.0]>,1
1,1860,Directed,549,,<[1370577600.0]>,1
1,3247,Directed,550,,<[1370318400.0]>,1
1,2368,Directed,551,,<[1370318400.0]>,1
1,151,Directed,552,,<[1369886400.0]>,1
1,3245,Directed,553,,<[1369627200.0]>,1
1,1574,Directed,554,,<[1369540800.0]>,1
1,290,Directed,555,,<[1369281600.0]>,1
1,1570,Directed,556,,<[1369022400.0]>,1
1,3233,Directed,557,,<[1368936000.0]>,1
1,891,Directed,558,,<[1368849600.0]>,1
1,1856,Directed,559,,<[1367726400.0]>,1
1,115,Directed,560,,<[1367726400.0]>,1
1,3215,Directed,561,,<[1367553600.0]>,1
1,483,Directed,562,,<[1366862400.0]>,1
1,1365,Directed,563,,<[1366776000.0]>,1
1,3211,Directed,564,,<[1366516800.0]>,1
1,3210,Directed,565,,<[1366430400.0]>,1
